,TCGA-0001,TCGA-0002,TCGA-0003,TCGA-0004,TCGA-0005,TCGA-0006,TCGA-0007,TCGA-0008,TCGA-0009,TCGA-0010,TCGA-0011,TCGA-0012,TCGA-0013,TCGA-0014,TCGA-0015,TCGA-0016,TCGA-0017,TCGA-0018,TCGA-0019,TCGA-0020,TCGA-0021,TCGA-0022,TCGA-0023,TCGA-0024,TCGA-0025,TCGA-0026,TCGA-0027,TCGA-0028,TCGA-0029,TCGA-0030,TCGA-0031,TCGA-0032,TCGA-0033,TCGA-0034,TCGA-0035,TCGA-0036,TCGA-0037,TCGA-0038,TCGA-0039,TCGA-0040,TCGA-0041,TCGA-0042,TCGA-0043,TCGA-0044,TCGA-0045,TCGA-0046,TCGA-0047,TCGA-0048,TCGA-0049,TCGA-0050,TCGA-0051,TCGA-0052,TCGA-0053,TCGA-0054,TCGA-0055,TCGA-0056,TCGA-0057,TCGA-0058,TCGA-0059,TCGA-0060,TCGA-0061,TCGA-0062,TCGA-0063,TCGA-0064,TCGA-0065,TCGA-0066,TCGA-0067,TCGA-0068,TCGA-0069,TCGA-0070,TCGA-0071,TCGA-0072,TCGA-0073,TCGA-0074,TCGA-0075,TCGA-0076,TCGA-0077,TCGA-0078,TCGA-0079,TCGA-0080,TCGA-0081,TCGA-0082,TCGA-0083,TCGA-0084,TCGA-0085,TCGA-0086,TCGA-0087,TCGA-0088,TCGA-0089,TCGA-0090,TCGA-0091,TCGA-0092,TCGA-0093,TCGA-0094,TCGA-0095,TCGA-0096,TCGA-0097,TCGA-0098,TCGA-0099,TCGA-0100
Gene_1,3.484613299,2.536709705,3.757839793,5.821249493,2.417957832,2.41797768,5.987095528,3.989705284,2.14955922,3.56541345,2.156078697,2.153587644,3.067862717,1.044313652,1.147448846,2.052084766,1.638177658,3.180771147,1.726313072,1.341580168,5.656607803,2.428106777,2.811629201,1.333258448,2.070538333,2.873300287,1.528830725,3.280018325,2.013109728,2.349383904,2.012035093,6.862961762,2.699998959,1.601826492,4.101170645,1.476357898,3.017509425,1.020369624,1.399208858,2.999455037,3.932334579,2.961465184,2.565557641,2.338356079,1.297888878,1.896628613,2.159076566,4.611536567,3.227826966,1.125784271,3.196453726,2.242202989,1.937772272,3.690781205,4.551695319,4.330314012,1.786737334,2.328894781,3.207948755,4.42722317,2.139159257,2.477303107,1.563352436,1.494656909,4.080677021,5.355478278,2.622150911,4.489612742,3.257037411,1.968831309,3.256645907,5.865092674,2.670022717,5.943640521,0.733540438,4.099853544,2.83920344,2.340808365,2.845902921,1.006234899,2.435529182,3.249679206,5.691347405,2.097749054,1.814397032,2.115141003,4.296071751,3.203921585,2.085732053,3.513573872,2.853478495,4.411975266,1.913575445,2.307509782,2.234340092,1.307664244,3.152072391,3.097290311,2.725240629,2.417433483
Gene_2,1.339524405,2.20268559,2.290208226,1.820045254,2.507677796,3.326848397,6.980307363,2.966221458,3.091867247,2.618959345,1.041450437,2.682483548,2.80138827,9.314953911,2.469015573,3.160637258,2.671510693,1.515372042,4.813437122,3.958901217,4.03705705,1.725136664,5.481600692,1.348610049,3.645263111,8.127292261,1.656541239,2.047974253,2.857153023,2.113324232,1.25190737,2.813084273,1.59815229,3.444560139,1.716500942,5.900087625,1.837440102,2.313980593,4.082700304,1.468979353,3.045697586,5.225609162,1.216841275,2.981173245,3.095475091,4.018511,1.464515754,1.404626868,3.528845568,3.153435005,3.080975985,3.232397444,1.934768419,3.053006518,3.1472726,1.901844664,6.909430762,3.444974355,1.49832565,3.77453352,1.669725372,4.029097083,4.851547807,1.803373073,4.40036752,3.341401947,4.10017674,7.01742605,2.404413344,1.864759178,1.742363954,1.807771475,2.615483945,3.223849,3.121599091,4.110692988,2.736010797,5.622447338,2.381359596,10.59184731,3.716690694,1.770781938,1.591303913,3.459887962,2.430917133,3.884523197,3.443949118,2.621077633,1.779981803,1.274528604,2.174377733,4.171181784,3.025410764,1.45809474,2.964150443,3.295832165,1.747299201,2.935455253,2.798558209,1.534976162
Gene_3,3.250775815,3.598050832,4.671712102,4.603887365,1.365014861,1.700780869,3.516680953,3.514484915,3.51670279,18.65969304,3.616277766,4.796002796,4.379790454,3.764803338,2.321852545,3.972853532,1.847045606,2.414737768,2.132549529,2.83186943,8.648010404,1.06861926,3.831016203,1.213661792,2.146919593,4.685512486,2.807066561,1.585861212,1.900939325,3.818275475,1.886676252,3.028990194,2.780931434,1.962462037,7.940466643,3.732056832,0.987507395,2.983888028,1.952492512,4.162919651,1.828945609,2.566727598,3.499057475,4.190741122,1.49160362,2.299632625,2.143687216,1.960766334,6.571401449,3.328397162,1.44709489,4.301358803,7.8544331,4.555032339,1.271649679,2.1337542,5.121542046,1.908209308,3.393662474,4.004092755,1.710070785,2.638570576,0.537603666,1.628739136,2.395796933,1.456605034,6.148484643,1.329668032,2.181423743,2.901913331,5.588084956,1.325870102,4.862641827,2.732225642,1.664035497,3.424829663,3.002753941,2.013534351,2.814827674,2.241943675,2.877030462,3.78507362,6.007498315,1.463882643,7.897266503,1.024245353,2.519618377,3.64792533,3.12831942,1.991026311,2.44963461,2.124421506,2.024489604,4.157030713,3.249521462,1.922343861,4.262261712,3.169740618,4.081363237,3.724059814
Gene_4,1.795893185,2.054247252,3.949728343,3.688371869,2.690021545,2.882516484,5.149154096,2.022257184,3.573511374,2.456908061,2.437954574,4.708589651,4.107063,4.082684828,5.221263402,2.746979435,3.822774568,2.327667334,3.196585396,2.547031269,2.853362098,3.660422261,1.805594063,7.738389862,1.643768233,1.481278689,4.850372164,4.038330431,3.71381596,3.721670976,2.701687597,1.735634086,2.823288327,1.937540033,4.426281614,2.525581439,1.799036784,2.314762474,3.341653442,2.050610848,1.801986743,3.070509798,3.072474569,2.109663408,2.147879008,3.052695493,1.317792291,1.344830675,1.897956706,2.443121254,3.175464062,5.684130155,4.173812187,2.509367514,2.692558606,1.64663748,2.693235966,2.352951931,3.194272237,1.797477923,3.524269769,5.849577618,2.574408826,3.322959698,3.838462884,2.224183238,3.04057378,2.735450668,2.854332597,1.84687516,2.751799571,3.48685138,5.615731209,4.391344362,7.977229963,1.852111276,4.204520762,2.979248248,8.124640382,1.814574232,1.786286848,2.014364331,0.939931892,2.089913106,1.859734377,2.930569853,3.224822751,6.945440628,4.371962177,2.037142666,1.73462745,3.476268978,1.404783778,6.79189088,4.902376367,2.149880317,1.154229169,5.349142069,2.566979915,5.047576141
Gene_5,1.22481054,2.01438208,2.725418106,2.782890948,2.170521072,3.711458649,1.593909471,2.531495557,2.886797672,3.515632376,3.879892469,1.549107493,1.262309418,5.1491848,3.209634302,1.869660253,5.903680605,2.880135429,4.902026015,2.811615532,7.616934274,6.538255725,2.400118055,4.418434622,3.753497135,5.388762565,1.677892044,3.830616399,4.614540256,1.128207688,1.504364792,0.980575055,2.375710576,3.891408319,5.761388623,2.820875761,6.136826628,1.363355951,1.159870986,2.643823462,3.293769733,2.6742063,0.966841167,2.599814198,1.415899828,3.799373841,3.265128514,1.699034429,2.102372652,1.600623497,2.63441317,4.382288867,1.660530246,3.49741197,2.085213381,1.828623657,2.576636381,1.619923359,2.060967118,1.493408444,7.259874676,2.766634988,1.915803747,3.025238573,2.569820302,2.433949387,3.695379849,3.969951409,2.084959491,2.038248539,2.36901475,0.859881592,1.274309507,5.384029835,6.187207517,2.400031783,3.626538027,3.176008048,12.67257747,4.757809892,2.549867008,1.685782385,1.217472319,3.0093732,1.862322989,1.334922376,1.967401345,1.582848383,6.319062241,4.224157694,2.707467455,5.697184295,2.825496648,1.76713201,5.821523741,3.558912504,1.618301145,2.471513364,1.754512207,1.361517838
Gene_6,4.319280225,7.061858922,1.35082594,3.601983329,1.963402064,2.130671755,2.021425666,1.764742196,2.78503604,1.794138463,3.111884256,2.650851596,2.412168117,1.726710527,2.037277453,3.965752461,3.491943974,1.667328054,2.856697258,3.957820764,1.179743875,3.566840166,1.951675278,3.615750113,1.85590124,1.10247643,1.204697841,2.78442802,3.09522701,1.72951615,3.740787794,1.184404325,2.62993755,1.483630167,1.962230715,2.783472741,1.767901619,2.242793591,4.495812485,2.037154671,4.128218905,1.545189525,3.542745845,5.588910186,0.78992107,1.824949604,3.627472278,2.455860741,3.272561255,2.009744112,2.838554358,2.514719791,4.873883394,3.087032957,3.21813285,2.212363756,2.130159561,2.189604439,3.310919917,2.202312092,3.142087627,7.672944188,4.202007351,2.309401116,4.956039635,2.216573009,0.981118268,1.642068692,1.066736555,2.280154623,2.743430623,6.285331945,3.201001363,2.436225062,4.115263189,0.899813594,3.058141196,3.996554428,1.297847181,4.815678849,3.219571267,2.208593843,3.729935469,8.45997678,2.977050745,3.077477578,2.160456518,1.77726882,4.117177716,1.771732864,2.817311661,2.140782201,3.45385125,3.211798474,4.566604688,2.106424163,2.375154605,1.6663209,2.176794474,3.282647451
Gene_7,3.968921155,1.714150012,4.198817592,5.353866068,3.342494724,6.947611325,1.846155559,1.458885296,1.116992578,5.743232216,3.770406529,2.643774589,3.126719316,1.548451619,9.233849171,2.899709591,2.871106218,3.907443454,3.457357662,3.040256881,1.830817837,3.440903831,6.96579852,5.326583419,6.029073276,2.105161448,1.657312956,2.55258492,2.795084828,4.697806789,1.166219925,5.840259085,2.511791016,2.19582859,1.638773035,1.18835698,4.102453839,2.819780327,1.426208537,1.422563626,2.298157352,6.262069757,2.387398607,1.282009185,2.403986661,2.37177404,0.705785917,2.645480115,2.42185248,3.850115633,6.851571537,4.774467812,2.376326136,1.563203194,9.842206282,2.79997144,2.737279779,2.685689404,3.001290553,2.528989445,2.040447194,2.067976369,2.674128051,2.07153031,1.903276945,2.866853577,2.392912854,5.766103184,0.722177082,4.691504997,5.068488243,0.963969989,2.290239055,2.257548674,1.344798453,1.842441614,1.56004096,6.528225899,4.339847445,5.133447945,3.899452006,1.545695722,2.09120377,3.471848915,1.475410263,3.882577414,2.410507487,2.253736704,3.878622187,3.394415753,2.269403263,4.853329196,1.583232014,3.698649687,3.656661706,2.328505814,3.199730256,1.454181518,4.314638354,2.478240746
Gene_8,2.093083819,4.592867758,1.911385085,1.344160093,1.248178656,3.680339398,1.433021746,6.536468867,0.959863009,6.34856107,3.020760841,2.589962622,2.069983128,3.318683132,2.667609222,4.719254966,2.878052426,2.930435013,2.266402775,2.641976175,3.170536716,1.15594224,1.385286932,3.941778617,2.960720702,2.479379511,2.743451959,3.234229918,2.075329964,1.841992078,2.99793173,1.666646646,3.333845284,1.160334352,4.547500852,3.442846986,3.089517306,4.443069614,6.250973566,4.514006112,1.082813649,1.43363262,1.988917878,2.753975558,3.521297432,1.891042177,2.984354222,1.863224397,2.002189033,1.345370516,1.713234967,1.382865364,1.66873086,4.603518481,1.690967002,10.13698921,3.478701008,2.981474754,1.769719589,3.858023245,2.038432412,2.889272982,9.77709367,2.590808658,4.82898675,1.912500958,2.671141088,6.588991605,1.98678245,6.727639095,3.8724058,2.051900859,3.7292378,4.420607919,3.709529248,1.239722594,1.889725182,2.401853383,2.618975696,3.707419377,2.97085711,1.394209824,3.2874064,3.688769275,3.596262904,4.666411509,4.124567135,3.419827255,2.624570187,1.184735489,3.369650769,3.01573579,3.113630531,1.435661491,1.583237387,4.602393189,2.665048944,3.821910195,2.757044267,2.759026968
Gene_9,4.345504676,2.100084613,2.852113757,2.157310605,2.187483697,2.328941653,3.037597436,2.139614535,5.093056099,1.737932779,2.47580149,2.18176563,5.60404659,2.998995467,4.553618856,1.293329387,3.106588358,4.24106916,2.832449811,4.630848847,2.098779059,5.499590968,8.580129973,2.267279648,2.175478715,5.622026795,5.988171297,2.09294044,2.20319062,2.361052975,1.38787631,1.717163887,1.645311317,1.851694596,2.671546602,3.056001513,5.901757845,1.650078693,4.446695336,2.442459633,2.651878204,3.809164014,1.550595405,3.29104411,2.954194734,3.477193949,3.141135384,9.278037702,1.97610949,2.084442686,1.990587332,2.059084446,1.976458163,4.925906239,5.530355637,2.043424043,1.792878114,3.440812991,2.062437381,3.730215135,3.008559854,1.273957176,5.892925718,6.672127913,2.000917159,2.239268433,3.135951684,3.213074912,3.778292305,7.426853398,2.488117465,1.823670772,1.363889284,1.886144842,2.673628433,6.667726397,2.098440292,3.040110842,2.696052192,4.924371423,9.61636383,2.084576284,2.128207931,4.58174733,3.822657054,6.843872065,3.639928697,2.271303634,3.652191562,4.732018191,4.096943019,3.503060502,4.633615018,4.877573171,5.425334169,3.759759317,2.500375598,2.925182416,4.969178244,1.806754541
Gene_10,3.268517945,2.232965659,2.757632196,5.151180601,2.990825792,2.782134042,1.377226824,3.947674941,3.753700264,8.017505685,2.330565361,3.033069563,3.079267801,5.98183059,2.591799012,3.125239008,3.683812624,2.984119002,2.174466164,2.995301806,4.649761253,1.627007357,2.905149457,1.91542512,4.940780499,1.269225088,2.055541006,3.282502003,5.946257408,2.630370917,2.059370259,6.962778014,1.317838705,0.905377787,3.387212206,2.114826736,1.631310356,3.873576435,3.070684058,2.050247843,1.433111279,4.204808133,3.762563808,2.586775367,6.843631406,1.591946716,1.267742062,1.92330674,2.657024777,3.069975941,2.409410161,3.241472488,1.453871921,5.595050133,2.608888871,4.752391266,3.226386154,3.415680051,3.614247379,3.400268095,3.748521067,5.283434,2.998945074,3.874830341,2.599014027,5.58485577,1.938285557,6.689038999,2.664245824,1.329246777,2.898090893,1.933775232,4.138451874,1.961457875,2.174738187,1.056783261,2.168090531,0.809013509,1.231272994,3.975725822,4.026510336,3.362648074,1.676170837,2.654202736,2.713389877,1.523206505,5.764388926,4.215133002,2.43395599,2.75507019,3.016784123,0.979348784,2.402263238,1.932873732,1.647386339,2.361860967,6.678165095,3.744999302,2.042982,3.619338921
